id	rank	name	parentid	childcount	min	max	mode	median	mean	stddev	sum16slist
2689	genus	Thiobacillus	3442	1	2	2	2	2	2.00	0.00	[2]
2690	genus	Odoribacter	3480	1	4	4	4	4	4.00	0.00	[4]
2691	genus	Nocardioides	3539	1	2	2	2	2	2.00	0.00	[2]
2692	genus	Haloarcula	3396	3	3	3	3	3	3.00	0.00	[3, 3, 3]
2693	genus	Vulcanisaeta	3497	2	1	1	1	1.0	1.00	0.00	[1, 1]
2694	genus	Mycobacterium	3527	74	1	2	1	1.0	1.18	0.38	[1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2695	genus	Ignavibacterium	3397	2	1	1	1	1.0	1.00	0.00	[1, 1]
2696	genus	Solibacillus	3535	1	12	12	12	12	12.00	0.00	[12]
2697	genus	Arsenophonus	3537	1	2	2	2	2	2.00	0.00	[2]
2698	genus	Chlorobaculum	3490	1	2	2	2	2	2.00	0.00	[2]
2699	genus	Hyphomonas	3381	1	1	1	1	1	1.00	0.00	[1]
2700	genus	Achromobacter	3439	4	1	3	3	3.0	2.50	0.87	[3, 1, 3, 3]
2701	genus	Slackia	3431	1	2	2	2	2	2.00	0.00	[2]
2702	genus	Nitrososphaera	3365	3	1	1	1	1	1.00	0.00	[1, 1, 1]
2703	genus	Candidatus Carsonella	3761	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
2704	genus	Rhodanobacter	3561	1	2	2	2	2	2.00	0.00	[2]
2705	genus	Alteromonas	3412	13	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
2706	genus	Virgibacillus	3382	1	7	7	7	7	7.00	0.00	[7]
2707	genus	Ruegeria	3558	1	5	5	5	5	5.00	0.00	[5]
2708	genus	Solitalea	3420	1	4	4	4	4	4.00	0.00	[4]
2709	genus	Ilyobacter	3338	1	8	8	8	8	8.00	0.00	[8]
2710	genus	Oceanobacillus	3382	1	7	7	7	7	7.00	0.00	[7]
2711	genus	Lawsonia	3476	2	2	2	2	2.0	2.00	0.00	[2, 2]
2712	genus	Campylobacter	3323	28	1	3	3	3.0	2.86	0.52	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3]
2713	genus	Micrococcus	3385	1	2	2	2	2	2.00	0.00	[2]
2714	genus	Aminobacterium	3344	1	3	3	3	3	3.00	0.00	[3]
2715	genus	Methylobacterium	3572	8	5	7	5	5.0	5.50	0.71	[5, 6, 6, 5, 5, 7, 5, 5]
2716	genus	Melissococcus	3569	2	4	4	4	4.0	4.00	0.00	[4, 4]
2717	genus	Haloferax	3405	2	2	2	2	2.0	2.00	0.00	[2, 2]
2718	genus	Deinococcus	3421	6	3	5	4	4.0	4.00	0.58	[4, 4, 4, 3, 5, 4]
2719	genus	Francisella	3406	19	1	3	3	3	2.89	0.45	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3]
2720	genus	Desulfosporosinus	3332	1	8	8	8	8	8.00	0.00	[8]
2721	genus	Bacteroides	3418	8	5	7	6	6.0	6.00	0.71	[5, 6, 6, 7, 5, 6, 6, 7]
2722	genus	Natronococcus	3570	1	4	4	4	4	4.00	0.00	[4]
2723	genus	Stackebrandtia	3353	1	2	2	2	2	2.00	0.00	[2]
2724	genus	Thermotoga	3422	9	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1]
2725	genus	Idiomarina	3399	2	4	4	4	4.0	4.00	0.00	[4, 4]
2726	genus	Rubrivivax	3469	1	3	3	3	3	3.00	0.00	[3]
2727	genus	Clostridium III	3531	7	3	8		4	5.14	2.03	[4, 8, 6, 8, 4, 3, 3]
2728	genus	Halothermothrix	3559	1	4	4	4	4	4.00	0.00	[4]
2729	genus	Arcobacter	3323	5	4	5	5	5	4.80	0.40	[5, 4, 5, 5, 5]
2730	genus	Phaeobacter	3558	3	4	4	4	4	4.00	0.00	[4, 4, 4]
2731	genus	Rubrobacter	3560	1	1	1	1	1	1.00	0.00	[1]
2732	genus	Sulfurihydrogenibium	3410	2	2	3		2.5	2.50	0.50	[3, 2]
2733	genus	Xanthobacter	3341	1	2	2	2	2	2.00	0.00	[2]
2734	genus	Ehrlichia	3470	7	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1, 1, 1]
2735	genus	Methylibium	3469	1	1	1	1	1	1.00	0.00	[1]
2736	genus	Fluviicola	3462	1	2	2	2	2	2.00	0.00	[2]
2737	genus	Syntrophothermus	3350	1	2	2	2	2	2.00	0.00	[2]
2738	genus	Histophilus	3512	2	5	5	5	5.0	5.00	0.00	[5, 5]
2739	genus	Thiomicrospira	3509	1	3	3	3	3	3.00	0.00	[3]
2740	genus	Psychrobacter	3432	4	4	5	4	4.0	4.25	0.43	[4, 4, 5, 4]
2741	genus	Terribacillus	3382	1	8	8	8	8	8.00	0.00	[8]
2742	genus	Pedobacter	3420	2	3	4		3.5	3.50	0.50	[3, 4]
2743	genus	Caldicellulosiruptor	3504	8	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
2744	genus	Geobacillus	3427	11	8	10	10	10	9.27	0.86	[9, 10, 10, 8, 8, 10, 8, 10, 9, 10, 10]
2745	genus	Clostridium IV	3531	1	1	1	1	1	1.00	0.00	[1]
